"nest","prov","firstegg","jul","year"
"8427","ON","1974-06-03",154,1974
"8436","ON","1958-05-25",145,1958
"8437","ON","1961-05-31",151,1961
"8438","ON","1961-06-30",181,1961
"8439","ON","1961-06-30",181,1961
"8441","ON","1964-05-22",142,1964
"8442","ON","1965-06-04",155,1965
"8443","ON","1967-06-16",167,1967
"8444","ON","1967-06-10",161,1967
"8447","ON","1967-06-21",172,1967
"8448","ON","1968-06-29",180,1968
"8449","ON","1969-06-21",172,1969
"8451","ON","1969-06-14",165,1969
"8453","ON","1970-05-29",149,1970
"8454","ON","1971-06-13",164,1971
"8456","ON","1973-06-05",156,1973
"8458","ON","1973-05-29",149,1973
"8459","ON","1973-06-04",155,1973
"8460","ON","1973-05-27",147,1973
"8461","ON","1974-05-26",146,1974
"8462","ON","1975-05-23",143,1975
"8463","ON","1976-06-08",159,1976
"8465","ON","1978-05-25",145,1978
"8466","ON","1978-05-24",144,1978
"8467","ON","1978-06-01",152,1978
"8468","ON","1978-06-02",153,1978
"8471","ON","1978-06-10",161,1978
"8472","ON","1978-06-19",170,1978
"8473","ON","1978-07-01",182,1978
"8474","ON","1978-06-07",158,1978
"8475","ON","1978-06-13",164,1978
"8476","ON","1978-05-25",145,1978
"8477","ON","1978-05-26",146,1978
"8478","ON","1978-05-24",144,1978
"8480","ON","1978-05-25",145,1978
"8481","ON","1978-05-31",151,1978
"8482","ON","1979-05-29",149,1979
"8483","ON","1980-06-12",163,1980
"8484","ON","1980-06-14",165,1980
"8485","ON","1980-06-02",153,1980
"8486","ON","1980-06-04",155,1980
"8487","ON","1980-06-13",164,1980
"8488","ON","1980-05-30",150,1980
"8489","ON","1980-05-29",149,1980
"8490","ON","1980-06-19",170,1980
"8491","ON","1980-06-13",164,1980
"8492","ON","1980-05-29",149,1980
"8493","ON","1980-05-30",150,1980
"8494","ON","1980-05-29",149,1980
"8495","ON","1980-05-30",150,1980
"8496","ON","1980-05-25",145,1980
"8497","ON","1981-06-25",176,1981
"8500","ON","1983-06-21",172,1983
"8501","ON","1984-06-09",160,1984
"8502","ON","1984-06-09",160,1984
"8505","ON","1991-05-11",131,1991
"8508","ON","1993-05-21",141,1993
"8509","ON","1993-05-14",134,1993
"8510","ON","1993-05-21",141,1993
"8511","ON","1993-05-29",149,1993
"8513","ON","1993-06-18",169,1993
"8514","ON","1993-05-29",149,1993
"8515","ON","1993-05-26",146,1993
"8516","ON","1993-05-29",149,1993
"8518","ON","1993-05-29",149,1993
"8519","ON","1993-06-11",162,1993
"8520","ON","1993-05-22",142,1993
"8521","ON","1993-05-21",141,1993
"8522","ON","1993-05-13",133,1993
"8523","ON","1996-05-27",147,1996
"8524","ON","1996-05-27",147,1996
"8525","ON","1996-05-28",148,1996
"8526","ON","1996-05-29",149,1996
"8527","ON","1997-06-14",165,1997
"8528","ON","1998-05-23",143,1998
"8529","ON","1999-05-21",141,1999
"8531","ON","1999-05-27",147,1999
"8532","ON","1999-05-28",148,1999
"8537","ON","1950-06-09",160,1950
"8538","ON","1984-06-28",179,1984
"8539","ON","1985-05-25",145,1985
"8540","ON","1987-05-26",146,1987
"8541","ON","1996-06-03",154,1996
"8552","ON","1962-05-31",151,1962
"8554","ON","1967-06-06",157,1967
"8555","ON","1967-05-31",151,1967
"8556","ON","1967-05-28",148,1967
"8558","ON","1967-05-21",141,1967
"8559","ON","1967-06-07",158,1967
"8560","ON","1968-05-22",142,1968
"8561","ON","1968-05-19",139,1968
"8562","ON","1968-05-23",143,1968
"8563","ON","1968-05-25",145,1968
"8564","ON","1968-06-01",152,1968
"8565","ON","1968-05-25",145,1968
"8566","ON","1968-05-13",133,1968
"8567","ON","1968-06-04",155,1968
"8568","ON","1968-05-27",147,1968
"8569","ON","1968-05-24",144,1968
"8570","ON","1968-06-02",153,1968
"8571","ON","1968-05-24",144,1968
"8572","ON","1968-05-23",143,1968
"8573","ON","1968-05-21",141,1968
"8574","ON","1968-05-19",139,1968
"8576","ON","1968-05-22",142,1968
"8578","ON","1968-05-19",139,1968
"8579","ON","1968-05-23",143,1968
"8580","ON","1968-05-25",145,1968
"8581","ON","1968-05-13",133,1968
"8582","ON","1968-06-01",152,1968
"8583","ON","1968-05-12",132,1968
"8584","ON","1968-06-02",153,1968
"8585","ON","1968-05-26",146,1968
"8587","ON","1969-05-13",133,1969
"8588","ON","1969-05-12",132,1969
"8591","ON","1969-05-21",141,1969
"8594","ON","1969-05-18",138,1969
"8597","ON","1969-05-27",147,1969
"8598","ON","1969-06-14",165,1969
"8599","ON","1969-05-24",144,1969
"8600","ON","1969-05-23",143,1969
"8601","ON","1969-05-24",144,1969
"8604","ON","1970-05-24",144,1970
"8605","ON","1970-05-18",138,1970
"8607","ON","1970-05-31",151,1970
"8608","ON","1970-05-22",142,1970
"8613","ON","1970-05-23",143,1970
"8617","ON","1970-05-31",151,1970
"8619","ON","1970-06-24",175,1970
"8620","ON","1970-05-31",151,1970
"8621","ON","1970-05-26",146,1970
"8622","ON","1970-05-12",132,1970
"8623","ON","1972-05-28",148,1972
"8624","ON","1972-05-29",149,1972
"8626","ON","1976-05-28",148,1976
"8627","ON","1977-05-21",141,1977
"8628","ON","1978-05-30",150,1978
"8630","ON","1979-06-15",166,1979
"8631","ON","1979-06-03",154,1979
"8632","ON","1979-05-28",148,1979
"8633","ON","1979-05-29",149,1979
"8635","ON","1979-06-04",155,1979
"8637","ON","1979-06-01",152,1979
"8638","ON","1979-05-24",144,1979
"8639","ON","1979-06-07",158,1979
"8640","ON","1979-06-04",155,1979
"8641","ON","1979-05-30",150,1979
"8642","ON","1979-05-21",141,1979
"8643","ON","1979-06-02",153,1979
"8644","ON","1979-06-03",154,1979
"8645","ON","1979-05-23",143,1979
"8646","ON","1979-05-25",145,1979
"8647","ON","1979-05-26",146,1979
"8648","ON","1979-05-24",144,1979
"8649","ON","1979-06-01",152,1979
"8651","ON","1981-05-09",129,1981
"8657","ON","1981-05-15",135,1981
"8658","ON","1981-05-25",145,1981
"8659","ON","1981-06-04",155,1981
"8660","ON","1981-05-26",146,1981
"8661","ON","1981-05-26",146,1981
"8662","ON","1981-05-19",139,1981
"8663","ON","1981-06-01",152,1981
"8664","ON","1981-06-08",159,1981
"8665","ON","1981-06-07",158,1981
"8666","ON","1981-05-23",143,1981
"8667","ON","1981-06-14",165,1981
"8669","ON","1983-05-23",143,1983
"8670","ON","1988-05-22",142,1988
"8672","ON","1995-05-28",148,1995
"8673","ON","1995-05-26",146,1995
"8674","ON","1995-05-23",143,1995
"8675","ON","1998-05-20",140,1998
"8676","ON","1998-05-19",139,1998
"8688","ON","1950-06-05",156,1950
"8689","ON","1954-05-28",148,1954
"8690","ON","1955-05-18",138,1955
"8691","ON","1956-06-02",153,1956
"8692","ON","1963-06-10",161,1963
"8693","ON","1964-05-27",147,1964
"8694","ON","1964-05-19",139,1964
"8695","ON","1964-05-20",140,1964
"8696","ON","1964-05-18",138,1964
"8697","ON","1965-05-24",144,1965
"8698","ON","1965-05-24",144,1965
"8699","ON","1965-05-28",148,1965
"8700","ON","1965-05-25",145,1965
"8701","ON","1965-05-25",145,1965
"8702","ON","1965-05-22",142,1965
"8703","ON","1965-05-27",147,1965
"8704","ON","1965-05-28",148,1965
"8705","ON","1965-05-23",143,1965
"8706","ON","1967-05-18",138,1967
"8712","ON","1968-06-12",163,1968
"8713","ON","1968-06-05",156,1968
"8714","ON","1969-05-31",151,1969
"8715","ON","1970-06-01",152,1970
"8716","ON","1973-07-18",199,1973
"8717","ON","1975-06-01",152,1975
"8718","ON","1975-06-05",156,1975
"8719","ON","1975-05-27",147,1975
"8720","ON","1975-05-28",148,1975
"8721","ON","1975-05-28",148,1975
"8722","ON","1980-05-31",151,1980
"8723","ON","1981-06-07",158,1981
"8724","ON","1981-05-22",142,1981
"8725","ON","1981-05-29",149,1981
"8726","ON","1981-05-29",149,1981
"8727","ON","1981-05-28",148,1981
"8728","ON","1998-05-16",136,1998
"8729","ON","1998-05-15",135,1998
"8731","ON","1970-05-27",147,1970
"8732","ON","1974-05-24",144,1974
"8733","ON","1975-06-23",174,1975
"8734","ON","1975-06-27",178,1975
"8735","ON","1975-06-30",181,1975
"8736","ON","1976-05-26",146,1976
"8737","ON","1979-06-05",156,1979
"8738","ON","1983-06-05",156,1983
"8739","ON","1984-06-04",155,1984
"8740","ON","1987-05-26",146,1987
"8741","ON","1996-06-28",179,1996
"8742","ON","1975-06-02",153,1975
"8743","ON","1975-05-29",149,1975
"8744","ON","1975-05-29",149,1975
"8745","ON","1975-06-02",153,1975
"8746","ON","1975-05-31",151,1975
"8747","ON","1977-05-30",150,1977
"8748","ON","1978-05-28",148,1978
"8749","ON","1980-06-04",155,1980
"8750","ON","1980-05-27",147,1980
"8751","ON","1980-05-26",146,1980
"8752","ON","1980-05-27",147,1980
"8753","ON","1980-05-22",142,1980
"8754","ON","1980-05-25",145,1980
"8755","ON","1980-06-06",157,1980
"8756","ON","1981-05-21",141,1981
"8757","ON","1981-06-08",159,1981
"8758","ON","1981-05-26",146,1981
"8759","ON","1982-05-18",138,1982
"8760","ON","1988-05-16",136,1988
"8761","ON","1988-06-17",168,1988
"8762","ON","1988-05-16",136,1988
"8763","ON","1988-06-03",154,1988
"8764","ON","1991-06-01",152,1991
"8765","ON","1992-06-07",158,1992
"8766","ON","1993-05-27",147,1993
"8767","ON","1993-06-04",155,1993
"8768","ON","1996-05-27",147,1996
"8769","ON","1998-06-06",157,1998
"8771","ON","1998-06-08",159,1998
"8773","ON","1979-06-08",159,1979
"8774","ON","1982-05-26",146,1982
"8775","ON","1959-06-02",153,1959
"8776","ON","1961-06-24",175,1961
"8777","ON","1961-06-20",171,1961
"8778","ON","1961-06-16",167,1961
"8779","ON","1964-05-25",145,1964
"8780","ON","1964-05-28",148,1964
"8781","ON","1964-05-27",147,1964
"8782","ON","1964-05-28",148,1964
"8783","ON","1964-05-20",140,1964
"8784","ON","1965-05-20",140,1965
"8785","ON","1966-06-08",159,1966
"8786","ON","1966-06-20",171,1966
"8787","ON","1966-07-17",198,1966
"8788","ON","1967-06-19",170,1967
"8789","ON","1967-06-19",170,1967
"8790","ON","1967-06-18",169,1967
"8791","ON","1967-05-29",149,1967
"8792","ON","1967-06-08",159,1967
"8793","ON","1967-06-01",152,1967
"8794","ON","1967-05-25",145,1967
"8795","ON","1968-05-26",146,1968
"8796","ON","1968-05-17",137,1968
"8797","ON","1968-06-08",159,1968
"8798","ON","1969-06-01",152,1969
"8799","ON","1969-05-23",143,1969
"8800","ON","1969-06-12",163,1969
"8802","ON","1969-05-31",151,1969
"8803","ON","1969-05-26",146,1969
"8804","ON","1969-05-27",147,1969
"8805","ON","1969-06-02",153,1969
"8806","ON","1969-05-31",151,1969
"8807","ON","1969-05-15",135,1969
"8808","ON","1970-05-31",151,1970
"8809","ON","1970-06-20",171,1970
"8811","ON","1970-05-31",151,1970
"8812","ON","1970-06-22",173,1970
"8813","ON","1970-06-20",171,1970
"8814","ON","1970-06-01",152,1970
"8815","ON","1970-05-20",140,1970
"8816","ON","1970-05-22",142,1970
"8817","ON","1970-06-10",161,1970
"8818","ON","1970-05-31",151,1970
"8819","ON","1970-05-21",141,1970
"8820","ON","1970-05-22",142,1970
"8821","ON","1971-05-30",150,1971
"8822","ON","1971-06-01",152,1971
"8823","ON","1971-05-30",150,1971
"8824","ON","1971-06-08",159,1971
"8825","ON","1971-05-30",150,1971
"8827","ON","1971-05-31",151,1971
"8828","ON","1971-06-15",166,1971
"8829","ON","1971-05-24",144,1971
"8830","ON","1971-06-01",152,1971
"8833","ON","1971-05-18",138,1971
"8834","ON","1971-05-29",149,1971
"8835","ON","1973-05-28",148,1973
"8836","ON","1973-05-26",146,1973
"8837","ON","1973-06-03",154,1973
"8838","ON","1973-06-18",169,1973
"8840","ON","1973-05-29",149,1973
"8841","ON","1973-05-27",147,1973
"8842","ON","1973-05-26",146,1973
"8844","ON","1973-06-11",162,1973
"8845","ON","1973-06-11",162,1973
"8846","ON","1974-06-13",164,1974
"8847","ON","1974-06-08",159,1974
"8848","ON","1975-05-28",148,1975
"8849","ON","1975-05-17",137,1975
"8850","ON","1975-06-07",158,1975
"8854","ON","1975-06-27",178,1975
"8856","ON","1976-06-11",162,1976
"8857","ON","1976-06-30",181,1976
"8859","ON","1977-06-14",165,1977
"8860","ON","1977-06-04",155,1977
"8861","ON","1977-06-22",173,1977
"8862","ON","1977-06-11",162,1977
"8863","ON","1977-06-09",160,1977
"8864","ON","1977-06-19",170,1977
"8865","ON","1979-05-28",148,1979
"8866","ON","1979-05-27",147,1979
"8868","ON","1982-05-28",148,1982
"8869","ON","1982-06-04",155,1982
"8871","ON","1983-05-17",137,1983
"8872","ON","1995-05-30",150,1995
"8873","ON","1998-05-25",145,1998
"8875","ON","1975-06-19",170,1975
"8876","ON","1975-05-26",146,1975
"8877","ON","1975-05-27",147,1975
"8878","ON","1976-06-03",154,1976
"8879","ON","1976-05-23",143,1976
"8880","ON","1976-05-29",149,1976
"8881","ON","1976-06-03",154,1976
"8882","ON","1976-05-25",145,1976
"8883","ON","1976-05-27",147,1976
"8884","ON","1977-06-08",159,1977
"8885","ON","1977-06-11",162,1977
"8886","ON","1977-05-30",150,1977
"8887","ON","1977-06-14",165,1977
"8888","ON","1979-06-06",157,1979
"8889","ON","1979-05-28",148,1979
"8890","ON","1979-05-20",140,1979
"8891","ON","1979-05-21",141,1979
"8892","ON","1980-06-22",173,1980
"8893","ON","1980-06-10",161,1980
"8894","ON","1980-06-03",154,1980
"8895","ON","1980-06-02",153,1980
"8896","ON","1980-05-21",141,1980
"8897","ON","1980-05-17",137,1980
"8898","ON","1980-05-25",145,1980
"8899","ON","1981-05-29",149,1981
"8900","ON","1981-06-03",154,1981
"8901","ON","1981-05-30",150,1981
"8902","ON","1981-05-23",143,1981
"8903","ON","1981-05-26",146,1981
"8904","ON","1981-05-27",147,1981
"8905","ON","1982-05-18",138,1982
"8906","ON","1982-05-20",140,1982
"8907","ON","1982-05-19",139,1982
"8908","ON","1984-06-23",174,1984
"8909","ON","1981-05-21",141,1981
"8911","ON","1982-05-25",145,1982
"8912","ON","1982-05-26",146,1982
"8913","ON","1982-05-15",135,1982
"8915","ON","1982-05-25",145,1982
"8916","ON","1982-05-25",145,1982
"8917","ON","1969-06-18",169,1969
"8918","ON","1970-05-25",145,1970
"8919","ON","1971-06-03",154,1971
"8920","ON","1971-06-09",160,1971
"8921","ON","1973-06-19",170,1973
"8922","ON","1974-06-08",159,1974
"8923","ON","1974-07-15",196,1974
"8924","ON","1978-05-29",149,1978
"8925","ON","1979-07-01",182,1979
"8928","ON","1985-06-03",154,1985
"8945","ON","1965-06-20",171,1965
"8946","ON","1965-06-22",173,1965
"8948","ON","1979-06-22",173,1979
"8949","ON","1983-06-24",175,1983
"8950","ON","1983-06-10",161,1983
"8951","ON","1984-06-26",177,1984
"8952","ON","1984-06-27",178,1984
"8953","ON","1984-06-17",168,1984
"8954","ON","1984-06-26",177,1984
"8955","ON","1984-06-10",161,1984
"8956","ON","1984-06-26",177,1984
"8957","ON","1984-06-28",179,1984
"8958","ON","1984-07-05",186,1984
"8959","ON","1984-06-18",169,1984
"8960","ON","1984-07-02",183,1984
"8961","ON","1990-06-18",169,1990
"8967","ON","1953-05-27",147,1953
"8969","ON","1953-05-17",137,1953
"8971","ON","1953-05-26",146,1953
"8973","ON","1953-05-29",149,1953
"8974","ON","1953-05-30",150,1953
"8975","ON","1953-05-29",149,1953
"8976","ON","1953-05-30",150,1953
"8977","ON","1953-06-01",152,1953
"8979","ON","1953-05-31",151,1953
"8980","ON","1953-05-31",151,1953
"8981","ON","1953-06-01",152,1953
"8982","ON","1953-06-02",153,1953
"8983","ON","1953-06-01",152,1953
"8984","ON","1953-06-02",153,1953
"8985","ON","1953-06-02",153,1953
"8987","ON","1953-06-06",157,1953
"8991","ON","1954-06-12",163,1954
"8992","ON","1954-06-19",170,1954
"8993","ON","1954-05-31",151,1954
"8997","ON","1954-05-22",142,1954
"8999","ON","1955-06-05",156,1955
"9001","ON","1955-06-06",157,1955
"9002","ON","1955-05-24",144,1955
"9003","ON","1954-05-27",147,1954
"9004","ON","1955-05-16",136,1955
"9006","ON","1955-05-16",136,1955
"9015","ON","1956-06-02",153,1956
"9016","ON","1956-05-26",146,1956
"9017","ON","1956-05-29",149,1956
"9018","ON","1956-05-24",144,1956
"9020","ON","1956-05-28",148,1956
"9021","ON","1956-05-27",147,1956
"9022","ON","1957-05-31",151,1957
"9023","ON","1957-06-09",160,1957
"9024","ON","1958-06-23",174,1958
"9027","ON","1958-06-16",167,1958
"9028","ON","1959-06-02",153,1959
"9029","ON","1959-05-26",146,1959
"9030","ON","1959-05-14",134,1959
"9031","ON","1959-05-27",147,1959
"9032","ON","1959-05-23",143,1959
"9033","ON","1959-05-25",145,1959
"9034","ON","1959-05-24",144,1959
"9035","ON","1959-05-25",145,1959
"9036","ON","1959-05-24",144,1959
"9037","ON","1959-05-24",144,1959
"9038","ON","1959-05-23",143,1959
"9039","ON","1959-05-25",145,1959
"9047","ON","1959-06-06",157,1959
"9052","ON","1961-05-29",149,1961
"9053","ON","1961-05-22",142,1961
"9054","ON","1961-06-01",152,1961
"9055","ON","1961-06-01",152,1961
"9056","ON","1961-05-25",145,1961
"9060","ON","1965-05-21",141,1965
"9062","ON","1965-05-27",147,1965
"9063","ON","1967-05-16",136,1967
"9065","ON","1968-05-17",137,1968
"9066","ON","1968-05-16",136,1968
"9067","ON","1968-05-20",140,1968
"9068","ON","1968-05-23",143,1968
"9073","ON","1969-05-20",140,1969
"9074","ON","1969-06-03",154,1969
"9075","ON","1969-06-03",154,1969
"9078","ON","1969-05-30",150,1969
"9079","ON","1969-05-28",148,1969
"9080","ON","1970-05-28",148,1970
"9081","ON","1976-05-19",139,1976
"9082","ON","1976-05-19",139,1976
"9083","ON","1976-05-19",139,1976
"9084","ON","1976-05-20",140,1976
"9085","ON","1976-05-24",144,1976
"9086","ON","1976-06-02",153,1976
"9087","ON","1976-05-17",137,1976
"9088","ON","1976-05-26",146,1976
"9089","ON","1976-05-25",145,1976
"9090","ON","1976-05-26",146,1976
"9091","ON","1976-05-26",146,1976
"9092","ON","1976-05-24",144,1976
"9094","ON","1976-05-20",140,1976
"9095","ON","1976-05-27",147,1976
"9096","ON","1976-06-01",152,1976
"9097","ON","1976-06-09",160,1976
"9098","ON","1976-06-04",155,1976
"9099","ON","1976-05-26",146,1976
"9100","ON","1976-06-04",155,1976
"9101","ON","1976-05-25",145,1976
"9102","ON","1976-05-27",147,1976
"9103","ON","1977-06-08",159,1977
"9104","ON","1977-05-22",142,1977
"9105","ON","1977-06-02",153,1977
"9106","ON","1977-05-29",149,1977
"9107","ON","1977-05-25",145,1977
"9108","ON","1977-05-21",141,1977
"9109","ON","1977-05-15",135,1977
"9110","ON","1977-05-23",143,1977
"9111","ON","1977-05-17",137,1977
"9112","ON","1977-05-18",138,1977
"9113","ON","1977-05-17",137,1977
"9114","ON","1978-05-29",149,1978
"9116","ON","1978-05-25",145,1978
"9117","ON","1978-06-02",153,1978
"9118","ON","1978-05-28",148,1978
"9119","ON","1978-06-01",152,1978
"9121","ON","1978-06-11",162,1978
"9122","ON","1979-06-04",155,1979
"9123","ON","1979-05-30",150,1979
"9125","ON","1980-05-29",149,1980
"9126","ON","1980-05-30",150,1980
"9127","ON","1980-05-29",149,1980
"9128","ON","1980-06-04",155,1980
"9129","ON","1981-05-30",150,1981
"9131","ON","1981-05-25",145,1981
"9132","ON","1981-06-03",154,1981
"9133","ON","1981-05-28",148,1981
"9134","ON","1982-06-02",153,1982
"9135","ON","1982-06-05",156,1982
"9137","ON","1982-05-20",140,1982
"9139","ON","1982-05-11",131,1982
"9140","ON","1982-05-25",145,1982
"9143","ON","1982-05-18",138,1982
"9144","ON","1982-05-16",136,1982
"9145","ON","1982-05-19",139,1982
"9147","ON","1983-05-28",148,1983
"9148","ON","1983-05-26",146,1983
"9149","ON","1983-06-04",155,1983
"9150","ON","1983-06-04",155,1983
"9153","ON","1983-06-06",157,1983
"9154","ON","1983-05-31",151,1983
"9155","ON","1983-06-04",155,1983
"9156","ON","1983-05-23",143,1983
"9157","ON","1983-05-26",146,1983
"9159","ON","1983-05-26",146,1983
"9162","ON","1983-05-28",148,1983
"9163","ON","1983-05-20",140,1983
"9167","ON","1984-05-28",148,1984
"9168","ON","1984-06-28",179,1984
"9171","ON","1985-05-16",136,1985
"9172","ON","1985-05-13",133,1985
"9174","ON","1986-07-01",182,1986
"9176","ON","1988-05-24",144,1988
"9177","ON","1988-05-24",144,1988
"9179","ON","1988-06-09",160,1988
"9180","ON","1989-06-02",153,1989
"9181","ON","1989-06-01",152,1989
"9183","ON","1998-05-26",146,1998
"9184","ON","1999-05-16",136,1999
"9191","ON","1973-06-11",162,1973
"9192","ON","1982-06-07",158,1982
"9194","ON","1983-06-02",153,1983
"9195","ON","1984-07-09",190,1984
"9196","ON","1985-05-24",144,1985
"9204","ON","1953-05-22",142,1953
"9206","ON","1955-06-16",167,1955
"9208","ON","1978-05-25",145,1978
"9211","ON","1967-06-07",158,1967
"9212","ON","1968-05-11",131,1968
"9213","ON","1976-06-01",152,1976
"9214","ON","1972-05-27",147,1972
"9216","ON","1974-06-04",155,1974
"9217","ON","1974-06-04",155,1974
"9218","ON","1975-06-02",153,1975
"9221","ON","1976-05-28",148,1976
"9222","ON","1976-05-27",147,1976
"9223","ON","1976-05-26",146,1976
"9224","ON","1976-07-06",187,1976
"9225","ON","1976-05-26",146,1976
"9226","ON","1976-05-26",146,1976
"9227","ON","1976-05-26",146,1976
"9229","ON","1977-06-07",158,1977
"9230","ON","1977-06-02",153,1977
"9231","ON","1977-06-13",164,1977
"9232","ON","1977-05-15",135,1977
"9233","ON","1977-05-28",148,1977
"9234","ON","1977-06-05",156,1977
"9235","ON","1977-05-30",150,1977
"9236","ON","1977-06-05",156,1977
"9237","ON","1977-06-09",160,1977
"9238","ON","1977-07-01",182,1977
"9239","ON","1978-05-23",143,1978
"9240","ON","1978-05-27",147,1978
"9241","ON","1978-06-02",153,1978
"9242","ON","1978-06-04",155,1978
"9243","ON","1978-06-19",170,1978
"9244","ON","1980-05-15",135,1980
"9245","ON","1980-05-21",141,1980
"9246","ON","1980-05-22",142,1980
"9250","ON","1978-06-14",165,1978
"9251","ON","1978-06-23",174,1978
"9252","ON","1978-06-12",163,1978
"9253","ON","1978-06-01",152,1978
"9267","ON","1962-05-25",145,1962
"9268","ON","1962-05-25",145,1962
"9269","ON","1962-05-26",146,1962
"9270","ON","1962-05-26",146,1962
"9271","ON","1964-05-14",134,1964
"9272","ON","1964-05-15",135,1964
"9273","ON","1965-06-10",161,1965
"9274","ON","1965-05-16",136,1965
"9275","ON","1965-05-15",135,1965
"9276","ON","1966-05-26",146,1966
"9277","ON","1966-05-19",139,1966
"9278","ON","1967-06-02",153,1967
"9279","ON","1967-06-10",161,1967
"9280","ON","1967-06-05",156,1967
"9281","ON","1968-06-06",157,1968
"9282","ON","1968-05-25",145,1968
"9283","ON","1969-05-30",150,1969
"9284","ON","1969-06-17",168,1969
"9285","ON","1972-06-18",169,1972
"9287","ON","1974-06-11",162,1974
"9289","ON","1977-06-10",161,1977
"9290","ON","1981-06-04",155,1981
"9291","ON","1981-05-31",151,1981
"9292","ON","1981-06-01",152,1981
"9293","ON","1982-06-19",170,1982
"9345","ON","1955-06-14",165,1955
"9348","ON","1972-06-24",175,1972
"9350","ON","1972-06-23",174,1972
"9351","ON","1972-05-21",141,1972
"9352","ON","1976-05-16",136,1976
"9357","ON","1972-06-13",164,1972
"9358","ON","1973-05-28",148,1973
"9360","ON","1976-06-03",154,1976
"9361","ON","1976-05-28",148,1976
"9362","ON","1982-06-06",157,1982
"9363","ON","1983-05-30",150,1983
"9364","ON","1983-05-29",149,1983
"9365","ON","1994-06-03",154,1994
"9366","ON","1995-06-01",152,1995
"9367","ON","1995-05-29",149,1995
"9373","ON","1975-05-22",142,1975
"9374","ON","1979-05-23",143,1979
"9375","ON","1982-06-20",171,1982
"9376","ON","1982-05-20",140,1982
"9377","ON","1983-05-28",148,1983
"9378","ON","1989-05-31",151,1989
"9379","ON","1994-06-11",162,1994
"9380","ON","1994-05-28",148,1994
"9381","ON","1997-06-13",164,1997
"9382","ON","1998-05-20",140,1998
"9383","ON","1998-06-09",160,1998
"9384","ON","1999-06-26",177,1999
"9385","ON","1999-05-30",150,1999
"9386","ON","1999-05-24",144,1999
"9397","ON","1970-07-02",183,1970
"9398","ON","1981-06-02",153,1981
"9400","ON","1983-06-15",166,1983
"9401","ON","1983-06-03",154,1983
"9403","ON","1984-06-10",161,1984
"9404","ON","1984-06-22",173,1984
"9405","ON","1992-06-01",152,1992
"9406","ON","1994-06-03",154,1994
"9407","ON","1998-06-01",152,1998
"9413","ON","1974-06-13",164,1974
"9414","ON","1974-05-22",142,1974
"9416","ON","1962-06-25",176,1962
"9418","ON","1964-05-29",149,1964
"9419","ON","1966-06-05",156,1966
"9420","ON","1967-05-20",140,1967
"9421","ON","1967-05-29",149,1967
"9422","ON","1967-06-17",168,1967
"9423","ON","1967-06-09",160,1967
"9424","ON","1967-05-28",148,1967
"9425","ON","1967-06-03",154,1967
"9426","ON","1968-05-25",145,1968
"9428","ON","1968-05-27",147,1968
"9429","ON","1968-06-13",164,1968
"9430","ON","1969-05-29",149,1969
"9431","ON","1969-05-24",144,1969
"9432","ON","1969-06-06",157,1969
"9433","ON","1969-05-25",145,1969
"9434","ON","1969-06-18",169,1969
"9436","ON","1967-06-21",172,1967
"9437","ON","1970-05-30",150,1970
"9438","ON","1970-05-17",137,1970
"9439","ON","1970-05-22",142,1970
"9440","ON","1970-05-19",139,1970
"9441","ON","1970-05-22",142,1970
"9442","ON","1971-05-25",145,1971
"9443","ON","1971-05-25",145,1971
"9445","ON","1971-06-02",153,1971
"9446","ON","1971-06-09",160,1971
"9448","ON","1972-05-30",150,1972
"9449","ON","1972-05-31",151,1972
"9450","ON","1972-06-09",160,1972
"9451","ON","1972-06-30",181,1972
"9452","ON","1973-06-06",157,1973
"9453","ON","1978-05-27",147,1978
"9454","ON","1978-06-02",153,1978
"9456","ON","1979-05-23",143,1979
"9458","ON","1996-06-14",165,1996
"9459","ON","1996-06-16",167,1996
"9462","ON","1997-06-03",154,1997
